매입처명,상품명,현재고,품절예상월,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06
기타,스텐집게,-4.0,2026-07,-28.0,-44.0,-56.0,-63.0,-86.0,-104.0,-118.0,-130.0,-144.0,-155.0,-164.0,-173.0
기타,오런NBR장갑(10켤레)(L)(U),-76.0,2026-07,-242.0,-408.0,-574.0,-740.0,-906.0,-1072.0,-1238.0,-1404.0,-1570.0,-1736.0,-1902.0,-2068.0
기타,오런NBR장갑(10켤레)(M)(U),0.0,2026-07,-100.0,-200.0,-300.0,-400.0,-500.0,-600.0,-700.0,-800.0,-900.0,-1000.0,-1100.0,-1200.0
기타,오런고탄력PU(S)회 손끝(10P),0.0,2026-07,-11.0,-26.0,-42.0,-57.0,-66.0,-77.0,-88.0,-103.0,-114.0,-137.0,-152.0,-167.0
기타,오런기사님3P,0.0,2026-07,-392.0,-786.0,-1385.0,-1831.0,-2598.0,-3232.0,-3604.0,-4038.0,-4464.0,-4770.0,-5262.0,-5457.0
기타,오런라이트(L)회,2516.0,2026-07,-8545.0,-18737.0,-32120.0,-43285.0,-51365.0,-60050.0,-65193.0,-74899.0,-81262.0,-95582.0,-107613.0,-117367.0
기타,오런라이트(M)회,-582.0,2026-07,-8405.0,-14435.0,-22356.0,-30047.0,-36222.0,-41378.0,-45890.0,-50864.0,-58198.0,-69872.0,-78093.0,-85772.0
기타,오런라이트(S)회,240.0,2026-07,-3671.0,-6414.0,-10488.0,-14982.0,-18114.0,-19765.0,-22441.0,-24841.0,-27629.0,-32684.0,-36981.0,-40512.0
기타,오런라이트B급,0.0,2026-07,-47.0,-74.0,-115.0,-162.0,-199.0,-246.0,-268.0,-280.0,-302.0,-339.0,-376.0,-423.0
기타,오런멀티1P(L)남색,0.0,2026-07,-278.0,-395.0,-664.0,-824.0,-1099.0,-1150.0,-1336.0,-1392.0,-1492.0,-1657.0,-1796.0,-1938.0
기타,오런멀티1P(S)자주,0.0,2026-07,-391.0,-658.0,-910.0,-1209.0,-1631.0,-1862.0,-2130.0,-2334.0,-2587.0,-2865.0,-3196.0,-3443.0
기타,오런멀티5P(L)적,-40.0,2026-07,-52.0,-63.0,-83.0,-94.0,-101.0,-103.0,-114.0,-134.0,-166.0,-172.0,-183.0,-213.0
기타,오런멀티5P(M)적,-2.0,2026-07,-10.0,-13.0,-15.0,-17.0,-18.0,-23.0,-31.0,-39.0,-40.0,-55.0,-59.0,-69.0
기타,오런반코팅1P,600.0,2026-07,-184.0,-1084.0,-2064.0,-3044.0,-3828.0,-4612.0,-5135.0,-5723.0,-6623.0,-7523.0,-8699.0,-9875.0
기타,오런반코팅3P(신규바코드),100.0,2026-07,-373.0,-774.0,-1274.0,-1753.0,-2252.0,-2544.0,-2782.0,-3086.0,-3396.0,-3670.0,-4084.0,-4381.0
기타,오런알로에텍스위생10매(M),0.0,2026-07,-142.0,-342.0,-542.0,-742.0,-1185.0,-1327.0,-1527.0,-1727.0,-1927.0,-2307.0,-2497.0,-2697.0
